ledger_id,status_id,date,record_type,account,primary_theme,service_recognition,mentioned_handles,hashtags,status_url,accounting_status
recovered-075,732687384597430273,2016-05-17,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MMViverito|NYCCouncil,CallNYC|IDNYC,https://x.com/CallNYCapp/status/732687384597430273,recovered
recovered-076,732752376709447680,2016-05-18,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ElizCrowleyNYC|NYCCouncil,CallNYC|Recycling,https://x.com/CallNYCapp/status/732752376709447680,recovered
recovered-077,732928060635373569,2016-05-18,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MarkTreyger718|NYCCouncil,CallNYC|HospitalFacility,https://x.com/CallNYCapp/status/732928060635373569,recovered
recovered-078,732959093225345024,2016-05-18,authored-post,CallNYCapp,resident-resource,false,CallNYCapp|CoreyinNYC|DanGarodnick|galeabrewer|GoddardRiv|HelenRosenthal|MarkLevineNYC|RentJustice,RentGuidelinesBoard|RentStabilized,https://x.com/CallNYCapp/status/732959093225345024,recovered
recovered-079,733027856025047041,2016-05-18,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RosieMendez,CallNYC|EmergencyRepairs,https://x.com/CallNYCapp/status/733027856025047041,recovered
recovered-080,733063600152141825,2016-05-18,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|ydanis,CallNYC|RentOvercharges,https://x.com/CallNYCapp/status/733063600152141825,recovered
recovered-081,733089563334299648,2016-05-19,repost,ydanis,council-response-amplification,false,CallNYCapp|NYCCouncil|ydanis,CallNYC|RentOvercharges,https://x.com/ydanis/status/733089563334299648,recovered
recovered-082,733387247362379777,2016-05-19,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|HelenRosenthal|NYCCouncil,CallNYC|SCRIE,https://x.com/CallNYCapp/status/733387247362379777,recovered
recovered-083,733388862806982656,2016-05-19,authored-reply,CallNYCapp,direct-conversation,false,CallNYCapp|HelenRosenthal|NYCCouncil|NYCSeniors,RentFreeze|SCRIE,https://x.com/CallNYCapp/status/733388862806982656,recovered
recovered-084,733410096915550208,2016-05-19,repost,RosieMendez,council-response-amplification,false,CallNYCapp|CarlinaRivera|EvillPunki|Fadonna|NYCCouncil|RosieMendez|shyviviana,CallNYC|EmergencyRepairs|TeamRosie,https://x.com/RosieMendez/status/733410096915550208,recovered
recovered-085,733440491673489408,2016-05-19,repost,CarlinaRivera,council-response-amplification,false,CallNYCapp|CarlinaRivera|NYCCouncil|RosieMendez,CallNYC|EmergencyRepairs|NYCtenants,https://x.com/CarlinaRivera/status/733440491673489408,recovered
recovered-086,733649303223336960,2016-05-20,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|NYCGreenfield,ImWalkinHere|Sidewalks,https://x.com/CallNYCapp/status/733649303223336960,recovered
